+1 1:-6.164736 2:-0.012825012 3:5.274423 4:-4.9317884 5:-0.01026001 6:4.2195387 
+1 1:-2.0083866 2:0.22331047 3:3.0199156 4:-0.62035155 5:0.18070038 6:1.5720248 
+1 1:0.64926696 2:-2.373909 3:2.2330103 4:1.6298417 5:-1.9332153 6:0.6280956 
+1 1:-0.8498664 2:0.7920842 3:2.504891 4:0.10456663 5:0.9862224 6:0.71998096 
+1 1:-2.1263902 2:-1.9382539 3:-1.8324876 4:-0.9375658 5:-1.3952926 6:-2.893918 
+1 1:-1.6334219 2:0.20220041 3:0.7895136 4:-0.35567808 5:0.5961293 6:-0.21753347 
+1 1:1.6546693 2:-0.9324713 3:4.164174 4:2.3459306 5:-0.43083388 6:2.5257015 
+1 1:-1.5202875 2:-2.4066982 3:-3.6900077 4:-0.663221 5:-1.5240487 6:-4.262784 
+1 1:0.5513149 2:-3.1792703 3:-0.6662383 4:1.1267052 5:-1.8372966 6:-0.9912119 
+1 1:-0.9856616 2:4.175086 3:2.9626327 4:-0.32821715 5:4.4136477 6:2.1101274 
+1 1:-0.72879994 2:-1.2035866 3:-4.080947 4:-0.057084322 5:-0.7720198 6:-3.9467618 
+1 1:0.28825486 2:-0.70723104 3:6.618691 4:0.7679764 5:-0.2205314 6:5.402301 
+1 1:-1.8123474 2:-0.8264003 3:-0.96808577 4:-1.0661007 5:-0.27176052 6:-1.7475806 
+1 1:-1.9980786 2:-1.4850025 3:3.7144146 4:-1.0014656 5:-0.74429023 6:2.347936 
+1 1:0.21395028 2:0.01573944 3:-3.3929663 4:0.9684507 5:0.60516137 6:-3.807556 
+1 1:-2.1467986 2:1.3661189 3:0.6595311 4:-1.1138386 5:1.5644327 6:0.19595313 
+1 1:0.2178464 2:-0.35654783 3:-3.0150988 4:1.0006452 5:-0.12658724 6:-2.7829416 
+1 1:3.8603742 2:-1.1138744 3:7.8349924 4:3.7145383 5:-0.7071311 6:6.45372 
+1 1:-0.8979058 2:-1.3601604 3:0.39376307 4:-0.83499336 5:-0.7627336 6:-0.7900076 
+1 1:0.8850175 2:-1.551341 3:0.083417416 4:0.75834405 5:-0.76313144 6:-0.8802826 
+1 1:-0.13269544 2:0.9063544 3:3.337834 4:-0.20749515 5:1.3556513 6:1.8993071 
+1 1:-0.77992606 2:-0.12560034 3:-1.3879876 4:-0.6837806 5:0.25895724 6:-2.2612114 
+1 1:0.19616628 2:0.25562668 3:4.488677 4:0.23384938 5:0.5121474 6:2.8923626 
+1 1:-0.85579824 2:-1.0033021 3:-2.7797842 4:-0.65449214 5:-0.5974251 6:-3.500879 
-1 1:-2.5405421 2:0.45304298 3:-4.0108075 4:-1.8713889 5:0.687136 6:-3.785522 
-1 1:1.3818433 2:0.08760834 3:-0.3974681 4:1.6407973 5:0.25736108 6:-0.137746 
-1 1:0.48082662 2:0.26012516 3:-0.42153406 4:0.5918245 5:0.34390232 6:-0.1294496 
-1 1:3.9502559 2:-1.602181 3:0.61608076 4:3.249003 5:-1.2147231 6:0.72653216 
-1 1:0.4480732 2:0.07262993 3:-0.032462597 4:-0.20254368 5:0.36807027 6:0.062391058 
-1 1:0.21635717 2:0.0144815445 3:0.14275408 4:-0.34740776 5:0.24793752 6:0.19008619 
-1 1:0.13452703 2:0.23485851 3:-0.28332043 4:-0.34339035 5:0.37465158 6:-0.18879065 
-1 1:-0.007316828 2:-0.0087509155 3:-0.009600639 4:-0.38818738 5:0.10483373 6:0.06794331 
-1 1:-1.0973144 2:0.31533527 3:-1.2624669 4:-1.1825479 5:0.34313595 6:-0.9479384 
+1 1:0.26435733 2:-1.5277629 3:1.1432419 4:0.143299 5:-1.1999698 6:1.1662164 
+1 1:-1.1434468 2:-1.0757914 3:3.077405 4:-1.0116041 5:-0.59839857 6:2.4803035 
+1 1:-0.10429704 2:-1.5571504 3:-0.72158146 4:0.022036508 5:-0.86380607 6:-1.0549463 
+1 1:1.0871906 2:-1.0711884 3:1.148489 4:0.97081935 5:-0.3022753 6:0.6520993 
+1 1:0.21041298 2:1.2643652 3:1.7752867 4:0.07523337 5:1.6266227 6:1.0231177 
+1 1:0.03843093 2:-1.8157716 3:-2.1119149 4:-0.07739894 5:-1.1628113 6:-2.2912672 
+1 1:-0.48093402 2:0.89548206 3:3.5223393 4:-0.47741112 5:1.2387539 6:2.6743896 
+1 1:-1.0948045 2:0.28216267 3:-1.4087126 4:-0.8730253 5:0.5003476 6:-1.8053298 
+1 1:0.1861735 2:0.2871189 3:1.7797685 4:0.3263622 5:0.4042431 6:1.106521 
+1 1:-0.5492711 2:-0.88785505 3:0.028451443 4:-0.32726595 5:-0.61658466 6:-0.51583683 
+1 1:-1.1142809 2:0.92977095 3:-0.04672432 4:-0.71382064 5:0.9608331 6:-0.47281006 
+1 1:1.8309326 2:-0.9480829 3:0.62619305 4:1.7851144 5:-0.73361665 6:0.16008586 
+1 1:-0.92813903 2:-1.3378539 3:-2.16195 4:-0.77916586 5:-0.89871013 6:-2.1024458 
+1 1:-1.1429806 2:0.10278177 3:-0.54247713 4:-0.79520595 5:0.43354043 6:-0.38637832 
+1 1:1.803751 2:-0.4843645 3:-0.19407654 4:1.7212205 5:-0.12288469 6:-0.030382186 
+1 1:-1.2795138 2:0.76528215 3:-0.081361294 4:-1.0896355 5:0.90140957 6:0.065866455 
+1 1:0.2146039 2:-1.7542272 3:-1.9066491 4:0.3235858 5:-1.2944798 6:-1.4075371 
+1 1:-2.4434059 2:2.6994305 3:0.3626089 4:-1.8675392 5:2.5273423 6:0.6893767 
+1 1:1.0873983 2:-0.77310324 3:-0.17202187 4:1.330612 5:-0.75615317 6:0.12379676 
+1 1:-0.5532162 2:1.6377463 3:-0.3598709 4:-0.248002 5:1.3237572 6:-0.051241815 
+1 1:-0.11504865 2:-1.3942275 3:-3.201716 4:0.15213245 5:-1.3665733 6:-2.3144696 
+1 1:-1.3848157 2:1.0620499 3:0.787416 4:-0.8941077 5:0.8717632 6:1.3397299 
+1 1:0.0164963 2:-1.4245658 3:-3.2389743 4:0.40576345 5:-1.2918819 6:-2.1493282 
+1 1:-2.1403751 2:0.16583824 3:1.2547421 4:-1.4008864 5:0.23881766 6:1.8755106 
-1 1:-0.26238108 2:-0.34250164 3:-0.5665035 4:0.38168615 5:-0.21561778 6:0.04341191 
